Start computing the 1th graph now

Nodes	Edges	Alpha	Max_Dep	Average_Dep	Max_Deg	Min_Deg	Avg_Deg	Graph_Time	Analysis_time	Diameter
100	258	1.2058	8	1.86	27	1	5.16	542179	15359
200	418	1.1391	8	1.69	21	1	4.18	1474481	18815
300	619	1.127	7	1.66	30	1	4.1267	2633715	24959
400	864	1.1285	10	1.7575	37	1	4.32	4292506	32639
500	1029	1.1161	8	1.702	23	1	4.116	6150583	39934
600	1206	1.1091	7	1.6317	26	1	4.02	8412990	47230
700	1458	1.112	8	1.6957	36	1	4.1657	11208745	60668
800	1848	1.1253	9	1.7775	32	1	4.62	14936418	69116
900	2037	1.1201	12	1.7333	59	1	4.5267	19915479	84092
1000	2209	1.1147	13	1.746	51	1	4.418	24538591	93307
1100	2600	1.1228	12	1.8291	45	1	4.7273	30788625	150903
1200	2746	1.1168	12	1.7908	51	1	4.5767	38776934	481126
1300	2848	1.1094	14	1.7677	56	1	4.3815	54995074	189686
1400	3135	1.1113	12	1.7779	46	1	4.4786	61606816	195830
1500	3083	1.0985	8	1.66	47	1	4.1107	67951309	207733
1600	3460	1.1045	10	1.72	68	1	4.325	76939884	11224487
1700	3789	1.1077	12	1.7635	41	1	4.4576	84762697	229236
1800	3811	1.1001	12	1.6944	49	1	4.2344	95406223	259187
1900	4093	1.1017	10	1.7395	42	1	4.3084	110112252	3509572
2000	4397	1.1036	15	1.7345	65	1	4.397	123576107	524900
2100	4843	1.1092	10	1.7671	47	1	4.6124	137121366	942669
2200	4844	1.1026	14	1.7177	73	1	4.4036	150796410	436585
2300	5063	1.1019	11	1.743	69	1	4.4026	163103719	468839
2400	5266	1.101	12	1.7558	46	1	4.3883	174843123	426985
2500	5490	1.1005	14	1.7372	65	1	4.392	213507550	651997
2600	5931	1.1049	14	1.7885	70	1	4.5623	261757256	2618356
2700	5910	1.0992	12	1.7481	47	1	4.3778	318433008	741080
2800	5974	1.0955	13	1.7246	50	1	4.2671	332725491	556386
2900	6242	1.0962	14	1.7324	52	1	4.3048	347237227	615135
3000	6719	1.1007	12	1.7657	54	1	4.4793	375423623	979915
3100	6748	1.0968	11	1.731	43	1	4.3535	394137246	653917
3200	6810	1.0936	11	1.7103	61	1	4.2563	439015997	709594
3300	7231	1.0968	11	1.7515	50	1	4.3824	457301482	896976
3400	7482	1.097	12	1.7485	51	1	4.4012	477480755	863185
3500	7655	1.0959	14	1.7214	59	1	4.3743	495640679	764503
3600	7909	1.0961	12	1.7267	50	1	4.3939	515329994	1002186
3700	8116	1.0956	18	1.7276	63	1	4.387	536543707	1732516
3800	8426	1.0966	11	1.7526	61	1	4.4347	595327890	1264444
3900	8523	1.0945	12	1.7362	54	1	4.3708	655754353	1143107
4000	8574	1.0919	13	1.7135	66	1	4.287	678986262	1429940
4100	9316	1.0987	12	1.7915	64	1	4.5444	704754355	1103173
4200	9324	1.0956	16	1.756	72	1	4.44	763396081	1013706
4300	9269	1.0918	12	1.7419	46	1	4.3112	785070954	35291167
4400	9502	1.0918	9	1.7341	51	1	4.3191	807508793	1040585
4500	10214	1.0974	14	1.7727	54	1	4.5396	858512784	1110469
4600	10287	1.0954	13	1.7641	69	1	4.4726	891650979	1567788
4700	10548	1.0956	11	1.7551	59	1	4.4885	943255514	1177665
4800	10272	1.0898	10	1.719	63	1	4.28	973229334	1836190
4900	10803	1.093	13	1.7471	72	1	4.4094	1005984317	1516335
5000	11118	1.0938	12	1.7468	66	1	4.4472	1074425583	2032403
5100	11632	1.0966	16	1.7747	61	1	4.5616	1115271013	1317050
5200	11290	1.0906	13	1.7394	56	1	4.3423	1217840757	1354679
5300	11221	1.0875	14	1.7109	65	1	4.2343	1273192548	1346616
5400	12191	1.0948	16	1.7737	73	1	4.5152	1347059828	3341005
5500	12501	1.0953	13	1.772	71	1	4.5458	1441223878	1083206
5600	12501	1.093	12	1.7432	74	1	4.4646	1476640991	39059926
5700	12945	1.0948	16	1.7718	79	1	4.5421	1547178017	1535534
5800	12793	1.0913	13	1.7421	59	1	4.4114	1610660573	1544365
5900	12427	1.0858	13	1.7054	64	1	4.2125	1641633508	2110735
6000	13098	1.0897	12	1.7462	50	1	4.366	1752918818	3132120
6100	13747	1.0932	13	1.7766	57	1	4.5072	1832908650	1560493
6200	13749	1.0912	16	1.755	58	1	4.4352	1876557515	1502511
6300	14051	1.0917	14	1.754	70	1	4.4606	1965439544	1997077
6400	13977	1.0891	16	1.7398	60	1	4.3678	2034016355	1645736
6500	14120	1.0884	11	1.7311	73	1	4.3446	2084462040	3201236
6600	14540	1.0898	13	1.7433	63	1	4.4061	2197535158	1660711
6700	14661	1.0889	11	1.737	59	1	4.3764	2242913082	1691430
6800	15912	1.0963	15	1.811	73	1	4.68	2313640562	2327684
6900	15204	1.0894	13	1.7428	55	1	4.407	2360231477	3115225
7000	15602	1.0905	14	1.7574	77	1	4.4577	2401289632	1829662
7100	15399	1.0873	12	1.7425	78	1	4.3377	2441937697	1964439
7200	16124	1.0908	14	1.7564	61	1	4.4789	2489194433	1930265
7300	16292	1.0902	13	1.7582	66	1	4.4636	2536642774	1919513
7400	16061	1.087	14	1.7365	87	1	4.3408	2593754342	1898779
7500	16691	1.0897	14	1.7593	68	1	4.4509	2707692566	4097445
7600	16724	1.0883	12	1.7513	69	1	4.4011	2754353749	1974039
7700	16880	1.0877	14	1.7282	76	1	4.3844	2806739299	2116878
7800	17245	1.0885	15	1.7499	84	1	4.4218	2859152494	2425599
7900	17593	1.0892	12	1.7472	76	1	4.4539	2911175566	3012703
8000	18521	1.0934	16	1.7876	117	1	4.6303	2983339897	2356866
8100	17360	1.0847	12	1.7244	55	1	4.2864	3035405591	2369154
8200	18708	1.0915	12	1.769	71	1	4.5629	3164439967	8540471
8300	18769	1.0904	14	1.787	64	1	4.5227	3293394091	2257031
8400	18658	1.0883	15	1.761	48	1	4.4424	3413421077	1818143
8500	18733	1.0873	14	1.7535	54	1	4.4078	3506098358	12214387
8600	18854	1.0866	11	1.7413	65	1	4.3847	3588313351	3682363
8700	19126	1.0868	15	1.7408	65	1	4.3968	3727130372	2730478
8800	19098	1.0853	12	1.7289	69	1	4.3405	3830696927	10592457
