Start computing the 1th graph now

Nodes;Edges;Alpha;Max_Dep;Average_Dep;Max_Deg;Min_Deg;Avg_Deg;Graph_Time;Analysis_time;Diameter
10;17;1.2304;3;1.6;7;1;3.4;22655;5376
20;29;1.124;3;1.4;8;1;2.9;37630;3840
30;47;1.132;4;1.5;10;1;3.1333;60669;4223
40;68;1.1438;4;1.6;12;1;3.4;86012;4992
50;87;1.1416;4;1.58;13;1;3.48;109051;6144
60;104;1.1343;4;1.6;14;1;3.4667;130554;6528
70;118;1.1229;4;1.5714;15;1;3.3714;148601;6911
80;136;1.1211;4;1.5625;16;1;3.4;170104;7295
90;148;1.1105;4;1.5222;18;1;3.2889;185079;8448
100;164;1.1074;5;1.52;19;1;3.28;208501;8832
110;188;1.114;5;1.5545;20;1;3.4182;241907;11135
120;207;1.1139;5;1.5583;21;1;3.45;266482;10751
130;220;1.1081;5;1.5385;21;1;3.3846;282609;11135
140;236;1.1057;5;1.5357;21;1;3.3714;303728;11135
150;257;1.1075;5;1.5533;22;1;3.4267;331375;11903
160;273;1.1053;5;1.5438;23;1;3.4125;353262;12287
170;300;1.1106;6;1.5647;24;1;3.5294;391661;13055
180;318;1.1096;6;1.5667;24;1;3.5333;415083;13440
190;328;1.1041;6;1.5368;24;1;3.4526;427755;14591
200;348;1.1045;6;1.545;25;1;3.48;456169;16127
210;367;1.1044;6;1.5524;26;1;3.4952;481512;16511
220;378;1.1004;6;1.5318;26;1;3.4364;495335;16895
230;396;1.0999;6;1.5435;26;1;3.4435;516454;19583
240;409;1.0973;6;1.5333;27;1;3.4083;533349;18047
250;425;1.0961;6;1.532;28;1;3.4;555620;18431
260;441;1.095;6;1.5269;28;1;3.3923;577123;18815
270;463;1.0963;6;1.5407;30;1;3.4296;607842;19199
280;476;1.0942;6;1.5321;30;1;3.4;624354;19967
290;507;1.0985;7;1.5552;31;1;3.4966;666592;20735
300;521;1.0968;7;1.5467;31;1;3.4733;685407;21503
310;540;1.0967;7;1.5548;32;1;3.4839;710750;21887
320;557;1.0961;7;1.5594;32;1;3.4813;733404;22655
330;569;1.0939;7;1.5485;32;1;3.4485;749915;22655
340;582;1.0922;7;1.5412;32;1;3.4235;766042;23807
350;593;1.09;7;1.5286;32;1;3.3886;780634;23807
360;609;1.0893;7;1.525;32;1;3.3833;801753;24959
370;621;1.0876;7;1.5162;32;1;3.3568;817496;25343
380;634;1.0862;7;1.5079;32;1;3.3368;834391;26879
390;651;1.0859;7;1.5103;32;1;3.3385;874709;208502
400;668;1.0856;7;1.51;32;1;3.34;905427;57981
410;686;1.0856;7;1.5098;32;1;3.3463;932689;47614
420;699;1.0843;7;1.5048;32;1;3.3286;969167;31870
430;713;1.0834;7;1.5;32;1;3.3163;985678;52989
440;726;1.0823;7;1.4955;32;1;3.3;1003725;43390
450;750;1.0836;7;1.5044;32;1;3.3333;1060939;34558
460;761;1.0821;7;1.4957;32;1;3.3087;1075915;31102
470;784;1.0832;7;1.5106;32;1;3.3362;1106249;35326
480;809;1.0846;7;1.5146;32;1;3.3708;1181893;34175
490;819;1.0829;7;1.5041;32;1;3.3429;1194564;61437
500;834;1.0823;7;1.5;32;1;3.336;1239874;43773
510;859;1.0836;7;1.5059;32;1;3.3686;1276352;36478
520;875;1.0832;7;1.5077;32;1;3.3654;1297855;36862
530;895;1.0835;7;1.5113;32;1;3.3774;1323582;36862
540;909;1.0828;7;1.5074;33;1;3.3667;1343549;37246
550;932;1.0836;7;1.5164;33;1;3.3891;1375036;38398
560;944;1.0825;7;1.5107;33;1;3.3714;1391163;38014
570;962;1.0825;7;1.514;34;1;3.3754;1419578;38782
580;976;1.0818;7;1.5103;34;1;3.3655;1438393;42238
590;996;1.0821;7;1.5153;34;1;3.3763;1463736;39550
600;1016;1.0823;7;1.5183;34;1;3.3867;1492535;39166
610;1029;1.0815;7;1.5148;34;1;3.3738;1510199;84859
620;1045;1.0812;7;1.5145;34;1;3.371;1557812;41854
630;1060;1.0807;7;1.5127;34;1;3.3651;1578931;101755
640;1076;1.0804;7;1.5125;34;1;3.3625;1602354;71804
650;1097;1.0808;7;1.5138;35;1;3.3754;1635760;43774
660;1112;1.0804;7;1.5121;35;1;3.3697;1656111;42238
670;1132;1.0806;7;1.5134;35;1;3.3791;1681454;94075
680;1146;1.08;7;1.5118;35;1;3.3706;1756331;50301
690;1167;1.0804;7;1.5174;35;1;3.3826;1785129;45310
700;1181;1.0798;7;1.5157;35;1;3.3743;1807784;45694
710;1194;1.0792;7;1.5113;35;1;3.3634;1828519;46461
720;1216;1.0797;7;1.5167;35;1;3.3778;1899171;48382
730;1228;1.0789;7;1.5123;35;1;3.3644;1937953;195063
740;1244;1.0786;7;1.5122;35;1;3.3622;1970975;54909
750;1260;1.0784;7;1.512;35;1;3.36;1994782;51453
760;1273;1.0778;7;1.5079;35;1;3.35;2014749;49150
770;1288;1.0774;7;1.5078;35;1;3.3455;2051611;53373
780;1301;1.0768;7;1.5038;35;1;3.3359;2073114;54909
790;1324;1.0774;7;1.5089;35;1;3.3519;2107289;57597
800;1339;1.0771;7;1.5063;35;1;3.3475;2131096;55293
810;1356;1.0769;7;1.5086;35;1;3.3481;2155287;55677
820;1375;1.077;7;1.5098;35;1;3.3537;2182166;132473
830;1393;1.077;7;1.5096;35;1;3.3566;2209044;59134
840;1410;1.0769;7;1.5119;35;1;3.3571;2238227;58749
850;1425;1.0766;7;1.5082;35;1;3.3529;2262034;57981
860;1438;1.0761;7;1.5058;35;1;3.3442;2281617;57981
870;1456;1.0761;7;1.5069;35;1;3.3471;2307344;59901
880;1477;1.0764;7;1.5114;35;1;3.3568;2334990;58749
890;1487;1.0756;7;1.5056;35;1;3.3416;2349965;12093479
900;1501;1.0752;7;1.5033;35;1;3.3356;2382603;115195
910;1516;1.0749;7;1.5022;35;1;3.3319;2409098;63740
920;1533;1.0748;7;1.5033;36;1;3.3326;2439432;72189
930;1551;1.0748;7;1.5032;36;1;3.3355;2466311;64125
